,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
46,"710,241","685,379","663,417","654,563","661,454","666,800","660,629","673,386","696,132","721,927","730,534","743,318","771,440","790,208","813,048","838,064"
47,"762,017","708,465","683,531","661,646","654,122","660,582","665,378","656,879","671,933","694,300","720,196","729,062","740,239","770,011","789,223","831,041"
48,"819,530","760,688","706,531","681,666","660,229","653,706","658,606","661,631","655,365","670,071","692,497","718,662","725,777","738,691","768,914","813,798"
49,"651,635","815,636","758,949","704,611","680,282","658,832","652,317","654,848","659,945","653,317","668,044","690,638","715,498","724,126","737,396","797,077"
50,"641,457","651,057","810,971","757,067","702,469","678,952","655,799","650,609","651,690","656,339","651,265","665,303","687,918","714,270","722,343","770,066"
51,"637,245","640,266","649,867","806,519","755,244","701,069","676,215","653,821","647,461","647,900","654,218","648,440","662,434","686,720","712,483","739,859"
52,"606,688","634,373","638,633","648,659","802,185","753,961","698,144","674,055","650,430","643,516","645,442","651,150","645,515","661,153","684,634","723,861"
53,"551,415","604,418","631,264","636,583","647,184","798,272","750,951","695,536","670,315","646,350","641,075","642,199","648,016","644,005","659,122","708,371"
54,"513,500","548,501","601,793","627,240","635,333","647,118","791,114","748,016","691,459","665,831","643,609","637,655","638,870","646,266","641,732","682,824"
55,"539,570","511,681","545,521","598,955","623,987","633,434","644,999","786,736","742,163","687,099","662,268","640,141","634,192","634,201","643,924","659,795"
56,"543,877","536,963","509,823","542,218","596,177","620,015","630,847","640,972","779,995","737,020","682,850","658,319","636,268","629,385","631,446","637,073"
57,"539,369","540,551","533,691","506,997","538,997","592,823","616,034","626,592","635,289","774,268","732,281","678,706","654,280","631,302","626,580","641,145"
58,"527,231","535,931","536,773","530,033","504,561","535,227","589,079","611,604","620,845","630,473","769,010","727,709","674,199","649,259","628,081","634,399"
59,"516,086","523,570","532,131","532,789","526,359","501,731","531,055","584,447","605,457","615,590","625,701","763,595","722,736","668,474","645,565","618,132"
60,"503,312","511,709","519,474","527,691","528,599","522,732","498,195","526,695","579,432","599,882","609,501","619,696","754,971","717,967","664,035","623,508"
61,"486,483","498,850","507,050","515,511","523,689","524,643","518,050","494,004","521,869","573,732","593,306","603,221","612,052","749,169","713,067","638,118"
62,"484,789","481,150","493,444","501,762","510,659","519,099","518,998","513,128","489,159","516,283","567,337","586,902","595,646","607,023","743,262","655,668"
63,"492,761","479,271","475,641","487,983","496,550","505,997","513,385","513,650","507,605","483,658","509,776","560,664","578,937","590,290","601,934","694,644"
64,"498,238","486,162","473,490","469,993","482,428","491,119","500,433","507,485","507,647","501,294","477,211","503,324","552,714","573,118","584,602","754,834"
65,"490,207","490,398","478,735","467,334","463,914","476,713","485,336","493,755","500,180","500,120","494,578","469,198","496,267","547,001","567,245","583,734"
66,"476,190","481,784","482,051","471,291","460,731","457,399","470,230","478,296","486,065","492,464","492,989","486,591","462,707","490,473","540,775","568,762"
67,"464,296","467,009","472,767","473,340","462,993","453,696","450,407","462,751","470,681","478,208","484,880","484,313","479,043","456,979","484,294","568,066"
